molecule_chembl_id,canonical_smiles,bioactivity_class,standard_value
CHEMBL1909733,Brc1ccccc1-c1cnn[nH]1,inactive,148000.0
CHEMBL196516,Clc1ccc(-c2c[nH]nn2)cc1,inactive,817000.0
CHEMBL1909734,Clc1ccccc1-c1cnn[nH]1,inactive,86000.0
CHEMBL1909735,Fc1ccc(-c2cnn[nH]2)cc1,inactive,580000.0
CHEMBL373134,c1cncc(-c2cnn[nH]2)c1,inactive,708000.0
CHEMBL1909739,Ic1nn[nH]c1-c1ccccc1,inactive,1371000.0
CHEMBL1909740,Cc1ccc(-c2[nH]nnc2Br)cc1,inactive,1028000.0
CHEMBL1909741,O=[N+]([O-])c1ccc(-c2[nH]nnc2[N+](=O)[O-])cc1,inactive,533000.0
CHEMBL1909742,CCOC(=O)c1cn(-c2ccc(Cl)cc2)nn1,inactive,2000000.0
CHEMBL84963,c1ccc2[nH]nnc2c1,inactive,2570000.0
CHEMBL513172,Cn1cc(CC(N)C(=O)O)c2ccccc21,inactive,328000.0
CHEMBL193664,c1ccc(-c2cnn[nH]2)cc1,inactive,251200.0
CHEMBL1909733,Brc1ccccc1-c1cnn[nH]1,inactive,31600.0
CHEMBL1909734,Clc1ccccc1-c1cnn[nH]1,inactive,19300.0
CHEMBL1935084,Nc1cc2ccccc2cc1C(=O)O,inactive,15000.0
